Video Title,Video ID,User,Comment,Published,SentimentScore,PositiveWords,NegativeWords,AgreeableWords,NeutralRaceWords,WhiteSlurWords,BlackSlurWords,HispanicSlurWords,GeneralSlurs
cosby show - one of the funniest moments,jJPudiBap4U,Gamegal07,how much of this do you think is improv ,2012-11-06,-0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,WayneYonke,This show had everything  Bill  the sweaters  ...of course Lisa Bonet  ...  mERCY ,2012-01-15,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Redeyemarksman,that light skinned girl OMG I WOULD SOO WORK THAT,2013-01-30,-0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Gold Fingers,I didn t even smile the girl was cute though,2012-08-22,0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,smokine2001,lmao ,2012-01-14,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,micglou,You completely right... watch the Look Back dvd  they even use this exact  scene to tell that. According to the dvd a lot of Cosby s stories were  improvised. Also all the stories he tells when he comes home after he had a  long day night delivering babies are made up on the spot... Bill was is so  great ,2013-06-18,1.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,TheRonny245 .,LMAO XXD ill get a car like that,2012-09-05,-1.125,2,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Rockin Guy,LMAO,2012-11-08,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Heather Haynes,I PUSHED ON THE GAS AND THE CAR SAID  WHAT  ,2013-05-27,-0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Seina Rahimi, and whatever I was going to run over  there was 12 of them  LOL,2012-01-09,-0.5,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,HeroComicZ .,One of the Best car impersonations ever.,2013-07-23,0.375,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,maskedhero666,Papers  Please.,2013-08-17,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,hassan aoun,funny ,2013-02-13,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Luke Moseley, one of the funniest moments  ...did i miss something,2013-05-24,0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Borkix,0 53 HE S NOT RUNING YET  HE S JUST THINKIN  ABOUT IT     HAHAHAHAHAHAHHAHAHAHAHAHHAHHA MYYYYYY GOD I JUST FALLED OFF MY CHAIR  LAUGHING    HE S JUST HILAAAARIOUS    LOVE HIM ,2013-05-01,-0.5,2,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,nyer070,Bill Cosby is without a doubt one of the best comedians out there  I might  this man is super smart and so creative. I LOVE BILL COSBY    he is AWESOME,2011-11-26,1.25,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,stonestv,When he said I knew somthin was wrong I thought he would finish it with  when a pretty little white girl ran to a black mans arms,2013-08-09,-1.875,0,0,0,2,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,boywhogames,Chilly down homies.,2012-08-08,0.375,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,beeresident,Bill Cosby is the funniest black guy on the planet,2013-03-09,0.375,0,0,0,1,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,latenightspesh,Rihanna  o.O,2013-10-09,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MasqueradeofAngels,I love this episode    3 I miss this show so much  ,2011-06-04,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Heraclitean,One of those moments where Cosby did standup mid sitcom.,2013-04-25,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Jermiah Milburn,WHO GAVE COSBY MY WEED PUDDIN        ,2011-12-01,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MichaelHansenFUN,HILARIOUS   ,2012-04-03,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MrPokedude59,XD 1 12 motorboat,2012-09-23,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,ThirdOfJune4444,Wow  you have the most thumbs up I ve ever seen  Gave    you another one  I  agree  he had to have improvized most of his hysterics.,2013-06-07,-0.5,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Vanae01, The wheel was the best thing on the car   XD lmao,2013-02-07,0.625,2,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Zachary Lyon,Why can t shows be classy and not so filthy. But yet hilarious like this  anymore smh,2013-04-07,0.625,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Stephen Chase,1 million views  please  ,2013-07-09,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,tf2whackyengineer,Someone needs to take 0 46 to 0 51 and clip it completely out of context.,2013-07-09,0,0,0,0,0,0,1,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Ricky Cobb,HE IS SO FUNNY,2011-09-16,-0.125,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MrPwnstar7,AH BUH BUH BUH BUH BUH BUH AH BUHBUHBUHBUHBUHBUHBUHBUH,2011-11-19,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,authorkaytlan101,Hilarious every time  I love how Phylicia Rashad didn t try to keep a  straight face  because I mean in real life  people laugh when others are  funny. Usually in sitcoms they ignore the humor as if everything has a  punch line so it s not funny anymore. I love the ones where the actors  laugh.  D,2012-11-26,0.625,3,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Lynn Therrien,i love this show,2013-10-23,0.25,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,DrEpicPhD,Best beat boxing I ever heard.,2013-03-17,0.5,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Caldorian,OMG.. My daughter has to see this.. lol,2013-09-03,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,TheBar20,1 56 your welcome,2013-07-09,0.5,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,the_randomizer, The wheel was the best thing on the car   xD,2013-08-12,0.625,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Barbara Jones,amazing ,2013-09-06,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Spydiggity,Uh  it s called acting...,2013-05-21,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,aci16,Yry to watch this and not smile I dare you,2013-07-01,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,chincheckaaa,lmao he s so cute,2013-07-16,0.5,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,dragondancer1814,This is one of my favorite Cosby Show scenes of all time his facial  expressions and description of the car s behavior had me falling over  laughing  However  the scary part is that this description reminds me of MY  first car  which was nicknamed  The Beast  because it was a beast to start ,2012-02-05,-1,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,dxhangover,What a legend,2013-03-08,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,VIP854,Haha i was just watching this clip and it took me here,2013-01-31,-0.125,1,0,0,0,0,1,0,0
cosby show - one of the funniest moments,jJPudiBap4U,oRuTRa45,Just one example of why Bill Cosby is one of the greatest comedians  He s a  great storyteller. All the greatest tell a good story and make it come to  life.,2013-04-18,2.5,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,James Renz,This is why this show is still my favorite show on television.,2012-03-03,-0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,WOWayne325, nyer070 I think so also because he can be sooooo funny without using bad  language ,2011-12-03,-0.75,1,0,0,0,0,0,0,0
